trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1496,False,"{'a': 0.5, 'e': 0.0747266050773223}",25,11,21.37916839213228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1497,False,"{'a': 0.5, 'e': 0.07372936382162078}",20,8,21.42397882928517,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1498,False,"{'a': 0.5, 'e': 0.07273204883656179}",30,13,-6.475314781383854,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1499,False,"{'a': 0.5, 'e': 0.07173466111945981}",20,14,11.871394496171067,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1500,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,18,14.372399302593507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1501,False,"{'a': 0.5, 'e': 0.06973967147875001}",20,14,12.430614696386899,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1502,False,"{'a': 0.5, 'e': 0.06874207155013166}",20,12,14.98898932119653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1503,False,"{'a': 0.5, 'e': 0.06774440287944727}",30,20,-24.63613177752399,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1504,False,"{'a': 0.5, 'e': 0.06674666646436589}",20,7,21.474339783942344,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1505,False,"{'a': 0.5, 'e': 0.06574886330262336}",30,16,29.66357815839559,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1506,False,"{'a': 0.5, 'e': 0.06475099439202324}",20,13,13.50594356432446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1507,False,"{'a': 0.5, 'e': 0.0637530607304339}",25,12,23.369901647990414,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1508,False,"{'a': 0.5, 'e': 0.06275506331578937}",25,16,16.038053205651366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1509,False,"{'a': 0.5, 'e': 0.06175700314608652}",20,14,11.152006644415525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1510,False,"{'a': 0.5, 'e': 0.0607588812193859}",25,0,16.37127096439797,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1511,False,"{'a': 0.5, 'e': 0.0597606985338089}",25,10,25.051968833375625,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1512,False,"{'a': 0.5, 'e': 0.058762456087538564}",30,20,20.450097663009373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1513,False,"{'a': 0.5, 'e': 0.05776415487881682}",20,7,22.092272971118692,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1514,False,"{'a': 0.5, 'e': 0.05676579590594523}",20,0,34.25881707452659,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1515,False,"{'a': 0.5, 'e': 0.05576738016728225}",20,16,7.480735128046618,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1516,False,"{'a': 0.5, 'e': 0.05476890866124396}",20,14,13.26651876680457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1517,False,"{'a': 0.5, 'e': 0.05377038238630136}",20,16,8.859557069782237,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1518,False,"{'a': 0.5, 'e': 0.05277180234098107}",20,0,31.377366244240235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1519,False,"{'a': 0.5, 'e': 0.05177316952386262}",20,16,6.518756403492706,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1520,False,"{'a': 0.5, 'e': 0.05077448493357918}",30,16,27.85833906519585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1521,False,"{'a': 0.5, 'e': 0.049775749568814816}",20,0,34.7651222121021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1522,False,"{'a': 0.5, 'e': 0.04877696442830525}",20,11,18.349351338654472,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1523,False,"{'a': 0.5, 'e': 0.047778130510835105}",30,12,36.13414653537082,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1524,False,"{'a': 0.5, 'e': 0.04677924881523865}",20,12,-25.327855470754983,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1525,False,"{'a': 0.5, 'e': 0.04578032034039706}",25,11,10.940459423836884,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1526,False,"{'a': 0.5, 'e': 0.044781346085239156}",20,12,13.623961428815635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1527,False,"{'a': 0.5, 'e': 0.04378232704873868}",25,13,22.08498267677021,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1528,False,"{'a': 0.5, 'e': 0.04278326422991503}",25,16,15.527869351488997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1529,False,"{'a': 0.5, 'e': 0.0417841586278305}",30,16,27.63414063136452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1530,False,"{'a': 0.5, 'e': 0.040785011241591035}",20,10,22.337862075751616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1531,False,"{'a': 0.5, 'e': 0.03978582307034351}",25,16,19.394942963583063,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1532,False,"{'a': 0.5, 'e': 0.038786595113276444}",30,6,-2.555506309554227,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
1533,False,"{'a': 0.5, 'e': 0.03778732836961728}",20,11,21.3384290126375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1534,False,"{'a': 0.5, 'e': 0.036788023838633124}",20,6,27.509882011437444,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1535,False,"{'a': 0.5, 'e': 0.03578868251962797}",30,12,33.17449948356854,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1536,False,"{'a': 0.5, 'e': 0.03478930541194349}",20,13,13.701462902546359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1537,False,"{'a': 0.5, 'e': 0.03378989351495651}",20,12,18.0736784636422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1538,False,"{'a': 0.5, 'e': 0.032790447828078606}",20,12,17.197877710696194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1539,False,"{'a': 0.5, 'e': 0.03179096935075582}",20,12,16.025031072694798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1540,False,"{'a': 0.5, 'e': 0.030791459082466124}",20,16,7.29567442209907,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1541,False,"{'a': 0.5, 'e': 0.029791918022720125}",20,11,17.37797914862621,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1542,False,"{'a': 0.5, 'e': 0.028792347171058368}",20,15,3.292668061659248,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1543,False,"{'a': 0.5, 'e': 0.027792747527052058}",35,13,41.20797920632898,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1544,False,"{'a': 0.5, 'e': 0.026793120090300316}",30,12,32.81073108788509,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1545,False,"{'a': 0.5, 'e': 0.02579346586043094}",25,5,30.23233400300102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1546,False,"{'a': 0.5, 'e': 0.02479378583709763}",25,16,17.91528408218391,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1547,False,"{'a': 0.5, 'e': 0.02379408101998077}",25,17,3.248719421406883,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1548,False,"{'a': 0.5, 'e': 0.022794352408784652}",30,13,16.110533873594296,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1549,False,"{'a': 0.5, 'e': 0.021794601003238247}",20,8,20.194327849300095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1550,False,"{'a': 0.5, 'e': 0.02079482780309243}",25,16,14.423166983863595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1551,False,"{'a': 0.5, 'e': 0.01979503380812077}",20,12,16.26021839674517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1552,False,"{'a': 0.5, 'e': 0.018795220018116725}",30,12,30.608371194180787,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1553,False,"{'a': 0.5, 'e': 0.017795387432894452}",20,0,27.42533234476951,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1554,False,"{'a': 0.5, 'e': 0.016795537052286005}",25,18,13.205789472919578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1555,False,"{'a': 0.5, 'e': 0.01579566987614213}",20,11,15.80409055068022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1556,False,"{'a': 0.5, 'e': 0.01479578690432947}",25,8,31.135621334567688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1557,False,"{'a': 0.5, 'e': 0.013795889136731363}",25,19,11.236084459762418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1558,False,"{'a': 0.5, 'e': 0.012795977573245047}",20,14,8.967930548738217,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1559,False,"{'a': 0.5, 'e': 0.011796053213782446}",20,15,10.662488127518387,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1560,False,"{'a': 0.5, 'e': 0.010796117058267392}",25,12,20.448682673325006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1561,False,"{'a': 0.5, 'e': 0.009796170106636401}",35,3,48.10234187904932,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
1562,False,"{'a': 0.5, 'e': 0.0087962133588359}",20,15,10.337796492517853,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1563,False,"{'a': 0.5, 'e': 0.007796247814822993}",25,17,17.457224717322617,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1564,False,"{'a': 0.5, 'e': 0.0067962744745627}",25,15,17.20026875722517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1565,False,"{'a': 0.5, 'e': 0.00579629433802872}",25,15,18.913495115947033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1566,False,"{'a': 0.5, 'e': 0.004796308405200663}",30,18,22.766918393082864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1567,False,"{'a': 0.5, 'e': 0.0037963176760648218}",25,7,32.3381804155258,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
