trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1944,False,"{'a': 0.5, 'e': 0.14313028207887982}",20,12,17.644238185415833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1945,False,"{'a': 0.5, 'e': 0.14298722333809288}",30,15,-3.7590027428533683,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
1946,False,"{'a': 0.5, 'e': 0.14284430758454122}",20,8,21.192566743579793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1947,False,"{'a': 0.5, 'e': 0.14270153467530902}",20,6,13.818104123350018,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1948,False,"{'a': 0.5, 'e': 0.14255890446762343}",20,14,6.085519086087816,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1949,False,"{'a': 0.5, 'e': 0.14241641681885414}",20,4,16.415502246076805,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1950,False,"{'a': 0.5, 'e': 0.1422740715865136}",25,12,22.582186378303998,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1951,False,"{'a': 0.5, 'e': 0.1421318686282564}",20,16,6.884142644446487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1952,False,"{'a': 0.5, 'e': 0.14198980780187978}",25,0,-26.166904056862318,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
1953,False,"{'a': 0.5, 'e': 0.14184788896532272}",25,3,-14.820635745706806,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
1954,False,"{'a': 0.5, 'e': 0.1417061119766665}",20,4,-8.29642457896294,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
1955,False,"{'a': 0.5, 'e': 0.14156447669413402}",25,10,16.332606749871097,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1956,False,"{'a': 0.5, 'e': 0.14142298297609007}",25,12,12.312282267854608,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1957,False,"{'a': 0.5, 'e': 0.14128163068104085}",20,8,21.01307116873938,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1958,False,"{'a': 0.5, 'e': 0.1411404196676341}",20,11,17.941834263241915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1959,False,"{'a': 0.5, 'e': 0.14099934979465875}",25,5,6.236428133346413,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1960,False,"{'a': 0.5, 'e': 0.140858420921045}",20,0,9.080373014186675,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1961,False,"{'a': 0.5, 'e': 0.14071763290586387}",25,13,15.452157125798644,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1962,False,"{'a': 0.5, 'e': 0.1405769856083274}",35,16,-21.053885063718724,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
1963,False,"{'a': 0.5, 'e': 0.1404364788877882}",20,0,-10.045547112037367,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1964,False,"{'a': 0.5, 'e': 0.14029611260373964}",20,5,25.550998328697304,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1965,False,"{'a': 0.5, 'e': 0.14015588661581535}",20,6,25.570047164020174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1966,False,"{'a': 0.5, 'e': 0.1400158007837894}",25,16,18.789343713000324,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1967,False,"{'a': 0.5, 'e': 0.13987585496757585}",30,14,30.944050246476795,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1968,False,"{'a': 0.5, 'e': 0.13973604902722894}",25,0,38.06271094115059,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1969,False,"{'a': 0.5, 'e': 0.1395963828229427}",25,16,1.6922170452154042,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1970,False,"{'a': 0.5, 'e': 0.13945685621505094}",25,7,7.261931402866259,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
1971,False,"{'a': 0.5, 'e': 0.13931746906402698}",20,1,29.382820178702413,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1972,False,"{'a': 0.5, 'e': 0.13917822123048373}",20,7,27.153956022335688,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1973,False,"{'a': 0.5, 'e': 0.13903911257517326}",25,18,14.975820492984674,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1974,False,"{'a': 0.5, 'e': 0.138900142958987}",20,0,27.937322357301394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1975,False,"{'a': 0.5, 'e': 0.13876131224295524}",20,11,16.20755690814035,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1976,False,"{'a': 0.5, 'e': 0.13862262028824732}",25,8,20.814669896619773,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1977,False,"{'a': 0.5, 'e': 0.13848406695617121}",25,11,-8.962157402885241,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
1978,False,"{'a': 0.5, 'e': 0.13834565210817362}",20,8,24.36830916908773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1979,False,"{'a': 0.5, 'e': 0.13820737560583965}",25,3,11.19848537022363,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
1980,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,13,23.25658586967954,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1981,False,"{'a': 0.5, 'e': 0.13793123708519478}",20,10,21.49712231341075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1982,False,"{'a': 0.5, 'e': 0.13779337479074535}",20,5,16.192783826802327,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1983,False,"{'a': 0.5, 'e': 0.13765565028968216}",25,13,21.921265784694764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1984,False,"{'a': 0.5, 'e': 0.13751806344428075}",25,17,19.827307005318904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1985,False,"{'a': 0.5, 'e': 0.13738061411695424}",25,16,17.890805067995476,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1986,False,"{'a': 0.5, 'e': 0.13724330217025332}",25,5,20.269394654484575,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
1987,False,"{'a': 0.5, 'e': 0.13710612746686596}",30,19,-1.0840925572131468,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1988,False,"{'a': 0.5, 'e': 0.13696908986961753}",20,0,3.7876793448245594,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1989,False,"{'a': 0.5, 'e': 0.13683218924147036}",30,14,6.224119617356651,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
1990,False,"{'a': 0.5, 'e': 0.13669542544552385}",25,18,1.5644801439971352,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1991,False,"{'a': 0.5, 'e': 0.13655879834501417}",25,10,22.123822189493655,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1992,False,"{'a': 0.5, 'e': 0.13642230780331424}",25,20,11.819438028714499,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1993,False,"{'a': 0.5, 'e': 0.13628595368393343}",30,20,19.897371206647133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1994,False,"{'a': 0.5, 'e': 0.1361497358505177}",35,13,42.17857969709151,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1995,False,"{'a': 0.5, 'e': 0.13601365416684916}",20,0,-29.090625399944262,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1996,False,"{'a': 0.5, 'e': 0.13587770849684613}",20,9,2.008115035519176,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1997,False,"{'a': 0.5, 'e': 0.13574189870456288}",20,3,-12.904490337592646,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1998,False,"{'a': 0.5, 'e': 0.1356062246541897}",20,5,18.348158389127153,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1999,False,"{'a': 0.5, 'e': 0.13547068621005243}",25,15,4.974049838254939,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2000,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,9,21.61058872386428,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2001,False,"{'a': 0.5, 'e': 0.13520001559846748}",25,17,4.730171829619371,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2002,False,"{'a': 0.5, 'e': 0.13506488316034906}",25,14,6.142782936836889,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2003,False,"{'a': 0.5, 'e': 0.13492988578712511}",25,18,2.2008668261007096,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2004,False,"{'a': 0.5, 'e': 0.1347950233437982}",25,3,-3.9320249062847203,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
2005,False,"{'a': 0.5, 'e': 0.13466029569550586}",20,15,8.72185411621686,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2006,False,"{'a': 0.5, 'e': 0.1345257027075204}",20,13,9.93737047608635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2007,False,"{'a': 0.5, 'e': 0.1343912442452489}",25,9,15.588815290391368,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
2008,False,"{'a': 0.5, 'e': 0.13425692017423285}",25,5,-17.017821456029154,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
2009,False,"{'a': 0.5, 'e': 0.13412273036014816}",20,15,7.622324662723397,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2010,False,"{'a': 0.5, 'e': 0.13398867466880493}",20,14,13.681243325747777,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2011,False,"{'a': 0.5, 'e': 0.13385475296614763}",30,15,5.446345881428779,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
2012,False,"{'a': 0.5, 'e': 0.1337209651182544}",20,11,0.7266735931280848,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
2013,False,"{'a': 0.5, 'e': 0.13358731099133747}",25,12,12.713764348469477,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2014,False,"{'a': 0.5, 'e': 0.1334537904517426}",25,15,7.790319801229849,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2015,False,"{'a': 0.5, 'e': 0.13332040336594936}",20,10,18.924036201153157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
