trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
265,False,"{'a': 0.05, 'e': 0.2658029590889266}",25,10,14.161830801655215,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.05, 'e': 0.26447726129982396}",20,9,-20.998849136452744,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
267,False,"{'a': 0.05, 'e': 0.2631581754560287}",20,6,21.56537587759736,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.05, 'e': 0.261845668580326}",20,2,-23.702716370707087,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
269,False,"{'a': 0.05, 'e': 0.2605397078599756}",20,0,0.48799224743684744,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
270,False,"{'a': 0.05, 'e': 0.2592402606458915}",25,2,3.4038252661293367,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
271,False,"{'a': 0.05, 'e': 0.2579472944518257}",20,0,17.814007991547115,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
272,False,"{'a': 0.05, 'e': 0.2566607769535559}",30,16,26.822618937664668,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.05, 'e': 0.2553806759880777}",20,14,10.616523166081231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.05, 'e': 0.25410695955280027}",20,3,26.451635705297665,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.05, 'e': 0.25283959580474646}",25,2,21.41534167865529,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.05, 'e': 0.25157855305975646}",20,2,-33.46350617518795,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
277,False,"{'a': 0.05, 'e': 0.2503237997916961}",20,0,11.495678126843583,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
278,False,"{'a': 0.05, 'e': 0.24907530463166816}",20,2,-1.0576444580245201,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.05, 'e': 0.24783303636722875}",20,0,9.059156489377758,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
280,False,"{'a': 0.05, 'e': 0.24659696394160643}",25,7,-10.945996132283746,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
281,False,"{'a': 0.05, 'e': 0.24536705645292634}",20,0,-53.57343347339389,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
282,False,"{'a': 0.05, 'e': 0.2441432831534371}",25,15,-26.088531623955785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.05, 'e': 0.24292561344874244}",30,16,3.898633272953183,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.05, 'e': 0.24171401689703645}",20,10,17.68229914968084,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.05, 'e': 0.24050846320834213}",20,0,25.72747911157977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.05, 'e': 0.23930892224375455}",20,7,12.466969310440675,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.05, 'e': 0.23811536401468703}",25,2,-79.554263080266,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 2}",1
288,False,"{'a': 0.05, 'e': 0.23692775868212176}",30,0,46.67246470406533,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.05, 'e': 0.23574607655586352}",25,10,11.933308754485001,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.05, 'e': 0.23457028809379765}",20,0,0.3418039067232841,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
291,False,"{'a': 0.05, 'e': 0.23340036390115132}",20,0,-26.845832005600546,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
292,False,"{'a': 0.05, 'e': 0.23223627472975883}",25,1,-17.799784021401525,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
293,False,"{'a': 0.05, 'e': 0.23107799147733019}",20,0,-6.844563195592058,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
